exception_type,policy_id,insurer,commission_due_date,expected_amount,received_date,received_amount,notes
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1001,Aviva,2025-04-10,20516.05,,,"DPD=172, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1006,Aviva,2025-04-17,20768.53,,,"DPD=165, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-02-13,5825.16,,,"DPD=228, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-07-17,8560.73,,,"DPD=74, Confidence=0.00"
Late,AV-POL1011,Aviva,2025-07-17,8560.73,,,"DPD=74, Confidence=0.00"
